frame,scale,p1,p2,p3,p4,hooks,gens,机器标注
frame_00_08.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_08.5.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_09.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_09.5.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_10.0.jpg,1.50,unknown,healthy,healthy,healthy,0/0/0/0,5,p1未知
frame_00_10.5.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_11.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_11.5.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_12.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_12.5.jpg,1.50,unknown,healthy,healthy,healthy,0/0/0/0,5,p1未知
frame_00_13.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_13.5.jpg,1.50,healthy,healthy,injured,unknown,0/0/0/0,5,p4未知
frame_00_14.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_14.5.jpg,1.50,healthy,healthy,injured,healthy,0/0/0/0,5,正常
frame_00_15.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_15.5.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_16.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_16.5.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_17.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_17.5.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_18.0.jpg,1.50,healthy,healthy,injured,healthy,0/0/0/0,5,正常
frame_00_18.5.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_19.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_19.5.jpg,1.50,unknown,healthy,healthy,healthy,0/0/0/0,5,p1未知
frame_00_20.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_20.5.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_21.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_21.5.jpg,1.50,healthy,healthy,healthy,injured,0/0/0/0,5,正常
frame_00_22.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_22.5.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_23.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_23.5.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_24.0.jpg,1.50,healthy,healthy,healthy,injured,0/0/0/0,5,正常
frame_00_24.5.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_25.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_25.5.jpg,1.50,injured,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_26.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_26.5.jpg,1.50,injured,unknown,unknown,unknown,0/0/0/0,0,p2未知; p3未知; p4未知
