frame,scale,p1,p2,p3,p4,hooks,gens,机器标注
frame_11_40.0.jpg,1.30,injured,healthy,healthy,healthy,0/0/0/0,5,正常
frame_11_50.0.jpg,1.30,injured,healthy,healthy,injured,0/0/0/0,5,正常
frame_12_00.0.jpg,1.30,injured,healthy,healthy,injured,0/0/0/0,5,正常
frame_12_10.0.jpg,1.30,injured,healthy,healthy,injured,0/0/0/0,5,正常
frame_12_20.0.jpg,1.30,injured,healthy,healthy,hooked,0/0/0/1,5,正常
frame_12_30.0.jpg,1.30,injured,healthy,healthy,hooked,0/0/0/1,5,正常
frame_12_40.0.jpg,1.30,injured,healthy,healthy,hooked,0/0/0/1,5,正常
frame_12_50.0.jpg,1.30,injured,healthy,healthy,injured,0/0/0/1,5,正常
frame_13_00.0.jpg,1.30,injured,healthy,healthy,injured,0/0/0/1,3,正常
frame_13_10.0.jpg,1.30,injured,healthy,healthy,injured,0/0/0/1,3,正常
frame_13_20.0.jpg,1.30,injured,healthy,healthy,injured,0/0/0/1,3,正常
frame_13_30.0.jpg,1.30,injured,healthy,healthy,hooked,0/0/0/2,3,正常
frame_13_40.0.jpg,1.30,injured,healthy,healthy,hooked,0/0/0/2,3,正常
frame_13_50.0.jpg,1.30,injured,healthy,injured,injured,0/0/0/2,3,正常
frame_14_00.0.jpg,1.30,injured,healthy,injured,injured,0/0/0/2,2,正常
frame_14_10.0.jpg,1.30,injured,healthy,injured,healthy,0/0/0/2,2,正常
frame_14_20.0.jpg,1.30,injured,healthy,injured,healthy,0/0/0/2,2,正常
frame_14_30.0.jpg,1.30,healthy,healthy,injured,healthy,0/0/0/2,2,正常
frame_14_40.0.jpg,1.30,healthy,healthy,injured,healthy,0/0/0/2,2,正常
frame_14_50.0.jpg,1.30,healthy,injured,injured,healthy,0/0/0/2,2,正常
frame_15_00.0.jpg,1.30,healthy,injured,injured,healthy,0/0/0/2,2,正常
frame_15_10.0.jpg,1.30,healthy,injured,injured,healthy,0/1/0/2,2,正常
frame_15_20.0.jpg,1.30,healthy,injured,injured,healthy,0/0/0/2,2,正常
frame_15_30.0.jpg,1.30,healthy,injured,injured,healthy,0/1/0/2,1,正常
frame_15_40.0.jpg,1.30,healthy,injured,injured,healthy,0/0/0/2,1,正常
frame_15_50.0.jpg,1.30,healthy,injured,injured,healthy,0/0/0/2,1,正常
frame_16_00.0.jpg,1.30,injured,injured,injured,healthy,0/0/0/2,1,正常
frame_16_10.0.jpg,1.30,injured,injured,injured,healthy,0/0/0/2,1,正常
frame_16_20.0.jpg,1.30,injured,injured,injured,healthy,0/0/0/2,0,正常
frame_16_30.0.jpg,1.30,injured,injured,injured,healthy,0/0/0/2,0,正常
frame_16_40.0.jpg,1.30,injured,injured,injured,healthy,0/0/0/2,0,正常
frame_16_50.0.jpg,1.30,injured,injured,injured,healthy,0/0/0/2,0,正常
frame_17_00.0.jpg,1.30,injured,injured,injured,healthy,0/0/0/2,0,正常
frame_17_10.0.jpg,1.30,injured,injured,injured,healthy,0/0/0/2,0,正常
frame_17_20.0.jpg,1.30,injured,healthy,injured,healthy,0/0/0/2,0,正常
frame_17_30.0.jpg,1.30,injured,healthy,healthy,healthy,0/0/0/2,0,正常
frame_17_40.0.jpg,1.30,injured,healthy,healthy,injured,0/0/0/2,0,正常
frame_17_50.0.jpg,1.30,injured,healthy,healthy,dying,0/0/0/2,0,正常
frame_18_00.0.jpg,1.30,injured,healthy,injured,dying,0/0/0/2,0,正常
frame_18_10.0.jpg,1.30,injured,healthy,injured,injured,0/0/0/2,0,正常
